ID_Unidad,Placa,Serial,Marca,Modelo,Color,Tipo_Vehiculo,Tipo_Flota,Estatus_Final,Situacion_Actual,Gerencia,Responsable_Usuario,Cargo_Usuario,Ubicacion_Taller,Documento_Url,Ubicacion_Actual
16448,85KDAM,8ZCEC14TX2V309260,CHEVROLET,CHEYENNE,BLANCO,PICK-UP,Liviana,EN PROCESO DE DESINCORPORACION,FUERA DE SERVICIO,GOIP,TRANSPORTE TERRESTRE,,,,
16458,66KDAM,8ZCEC14TX2V308836,CHEVROLET,CHEYENNE,BLANCO,PICK-UP,Liviana,INOPERATIVA,RECUPERADA DE MUELLE LIBERTADOR,GOIP,ROY PACHECO,,,,
16462,24GDAN,8ZCEC14T02V308022,CHEVROLET,CHEYENNE,BLANCO,PICK-UP,Liviana,EN ESPERA POR REMOLQUE,POR CERTIFICAR FALLA,GOIP,AURA LOPEZ,,,,
16489,21GDAN,8ZCEC14T22V309169,CHEVROLET,CHEYENNE,BLANCO,PICK-UP,Liviana,EN PROCESO DE DESINCORPORACION,FUERA DE SERVICIO,GOIP,TRANSPORTE TERRESTRE,,,,
16497,83KDAM,8ZCEC14T12V309213,CHEVROLET,CHEYENNE,BLANCO,PICK-UP,Liviana,A DESINCORPORAR,FUERA DE SERVICIO,GOIP,TRANSPORTE TERRESTRE,,,,
16502,39LDAM,8ZCEC14T02V309056,CHEVROLET,CHEYENNE,BLANCO,PICK-UP,Liviana,EN PROCESO DE DESINCORPORACION,FUERA DE SERVICIO,GOIP,TRANSPORTE TERRESTRE,,,,
16515,04VDAN,8ZCEC14T92V310285,CHEVROLET,CHEYENNE,BLANCO,PICK-UP,Liviana,A DESINCORPORAR,FUERA DE SERVICIO,GOIP,TRANSPORTE TERRESTRE,,,,
16560,51LDAM,8ZCEC14T52V309831,CHEVROLET,CHEYENNE,BLANCO,PICK-UP,Liviana,EN PROCESO DE DESINCORPORACION,FUERA DE SERVICIO,GOIP,TRANSPORTE TERRESTRE,,,,
16569,10VDAN,8ZCEC14T62V310292,CHEVROLET,CHEYENNE,BLANCO,PICK-UP,Liviana,A DESINCORPORAR,DENUNCIADA,GOIP,TRANSPORTE TERRESTRE,,,,
16570,24VDAN,8ZCEC14T92V310531,CHEVROLET,CHEYENNE,BLANCO,PICK-UP,Liviana,EN PROCESO DE DESINCORPORACION,FUERA DE SERVICIO,GOIP,TRANSPORTE TERRESTRE,,,,
16635,56CGAX,8ZCEC14T85V311755,CHEVROLET,CHEYENNE,BLANCO,PICK-UP,Liviana,A DESINCORPORAR,FUERA DE SERVICIO,GOIP,TRANSPORTE TERRESTRE,,,,
16721,82IABI,8ZCEC14T85V313182,CHEVROLET,CHEYENNE,BLANCO,PICK-UP,Liviana,EN ESPERA POR REMOLQUE,POR CERTIFICAR FALLA,GOIP,JAVIER LOZADA,,,,
16729,46JABI,8ZCEC14T95V314521,CHEVROLET,CHEYENNE,BLANCO,PICK-UP,Liviana,A DESINCORPORAR,FUERA DE SERVICIO,GOIP,TRANSPORTE TERRESTRE,,,,
16750,52JABI,8ZCEC14T45V314619,CHEVROLET,CHEYENNE,BLANCO,PICK-UP,Liviana,EN ESPERA POR REMOLQUE,POR CERTIFICAR FALLA,GOIP,GOIP,,,,
21086,69HKAP,3FTRF17W67MA05751,FORD,F-150,BLANCO,PICK-UP,Liviana,A DESINCORPORAR,FUERA DE SERVICIO,GOIP,TRANSPORTE TERRESTRE,,,,
21131,17G KAR,3FTRF17WX7MA17353,FORD,FORTALEZA,BLANCO,PICK-UP,Liviana,INOPERATIVA,PARADA POR FALLA,SEGURIDAD INTEGRAL (DSI),ALEX REYES,,,,
21142,25TNAH,3FTRF17W47MA25383,FORD,F-150,BLANCO,PICK-UP,Liviana,INOPERATIVA,PARADA POR FALLA,GOIP,LUIS BUSTAMANTE,,,,
21198,31VNAH,3FTRF17W77MA25703,FORD,F-150,BLANCO,PICK-UP,Liviana,A DESINCORPORAR,FUERA DE SERVICIO,GOIP,TRANSPORTE TERRESTRE,,,,
21223,64FKAR,3FTRF17W97MA25671,FORD,F-150,BLANCO,PICK-UP,Liviana,A DESINCORPORAR,FUERA DE SERVICIO,GOIP,TRANSPORTE TERRESTRE,,,,
21244,98FKAR,3FTRF17W87MA25581,FORD,F-150,BLANCO,PICK-UP,Liviana,A DESINCORPORAR,FUERA DE SERVICIO,GOIP,TRANSPORTE TERRESTRE,,,,
21769,16UVAT,JN1CNUD225X451379,NISSAN,DOBLE CABINA,BLANCO,PICK-UP,Liviana,COMODATO,COMODATO,ALCALDIA DE SAN FRANCISCO,NO APLICA,,,,
21770,72IVAU,JN1CNUD225X451276,NISSAN,DOBLE CABINA,BLANCO,PICK-UP,Liviana,A DESINCORPORAR,FUERA DE SERVICIO,GOIP,TRANSPORTE TERRESTRE,,,,
21802,94JVAU,JN1CNUD225X451256,NISSAN,DOBLE CABINA,BLANCO,PICK-UP,Liviana,A DESINCORPORAR,FUERA DE SERVICIO,GOIP,TRANSPORTE TERRESTRE,,,,
21880,12UVAT,JN1CNUD225X451377,NISSAN,DOBLE CABINA,BLANCO,PICK-UP,Liviana,A DESINCORPORAR,FUERA DE SERVICIO,GOIP,TRANSPORTE TERRESTRE,,,,
21922,76ZAAO,JN1CNUD226A714610,NISSAN,DOBLE CABINA,BLANCO,PICK-UP,Liviana,A DESINCORPORAR,FUERA DE SERVICIO,GOIP,TRANSPORTE TERRESTRE,,,,
21228,81XLAH,3FTRF17W87MA27234,FORD,F-150,BLANCO,PICK-UP,Liviana,COMODATO,COMODATO,ALCALDIA DE SIMON BOLIVAR,NO APLICA,,,,
6856,A74AM0I,1N6AD0EV1CC466856,NISSAN,FRONTIER,PLATA,PICK-UP,Liviana,INOPERATIVA,PARADA POR FALLA,SERVICIOS ELECTRICOS,POR CERTIFICAR,,,,
8050,A73AM9I,1N6AOCJ6CN328050,NISSAN,TITAN,PLATA,PICK-UP,Liviana,INOPERATIVA,RECUPERADA DE TALLER AYACUCHO 23-3-24,SEGURIDAD INTEGRAL (DSI),DSI,,,,
7091,SIN PLACAS,1N6AD0ERXCC457091,NISSAN,FRONTIER,BLANCO,PICK-UP,Liviana,A DESINCORPORAR,FUERA DE SERVICIO,ASUNTOS PUBLICOS,ALONSO FERRER,,,,
16121,61VAAV,8ZCEC14T81V307781,CHEVROLET,CHEYENNE,BLANCO,PICK-UP,Liviana,EN PROCESO DE DESINCORPORACION,FUERA DE SERVICIO,PDVSA SERVICIOS PETROLEROS,TRANSPORTE TERRESTRE,,,,
21110,36FKAR,3FTRF17W57MA17356,FORD,F-150,BLANCO,PICK-UP,Liviana,EN PROCESO DE DESINCORPORACION,FUERA DE SERVICIO,MPETROLEO,TRANSPORTE TERRESTRE,,,,
777,A49AK8V,8ZCNCRE0XBV323694,CHEVROLET,SILVERADO,BLANCO,PICK-UP,Liviana,A DESINCORPORAR,FUERA DE SERVICIO,SERVICIOS LOGISTICOS,TRANSPORTE TERRESTRE,,,,
16189,74CAAW,8ZCEC14T51V308340,CHEVROLET,CHEYENNE,BLANCO,PICK-UP,Liviana,A DESINCORPORAR,FUERA DE SERVICIO,SERVICIOS ELECTRICOS,TRANSPORTE TERRESTRE,,,,
16421,66MDAM,8ZCEC14T22V308474,CHEVROLET,CHEYENNE,BLANCO,PICK-UP,Liviana,A DESINCORPORAR,FUERA DE SERVICIO,PROYECTOS MAYORES,TRANSPORTE TERRESTRE,,,,
16427,96MDAM,8ZCEC14T32V308323,CHEVROLET,CHEYENNE,BLANCO,PICK-UP,Liviana,A DESINCORPORAR,FUERA DE SERVICIO,SERVICIOS LOGISTICOS,TRANSPORTE TERRESTRE,,,,
16609,58KVAT,8ZCEC14T95V304233,CHEVROLET,CHEYENNE,BLANCO,PICK-UP,Liviana,A DESINCORPORAR,FUERA DE SERVICIO,COORDINACION OPERACIONAL,TRANSPORTE TERRESTRE,,,,
16774,47JABI,8ZCEC14T25V314540,CHEVROLET,CHEYENNE,BLANCO,PICK-UP,Liviana,A DESINCORPORAR,FUERA DE SERVICIO,MPETROLEO,TRANSPORTE TERRESTRE,,,,
16781,42EGAX,8ZCEC14T95V318794,CHEVROLET,CHEYENNE,BLANCO,PICK-UP,Liviana,A DESINCORPORAR,FUERA DE SERVICIO,SALUD,TRANSPORTE TERRESTRE,,,,
16794,03ICAD,8ZCEC14T37V315666,CHEVROLET,CHEYENNE,BLANCO,PICK-UP,Liviana,A DESINCORPORAR,FUERA DE SERVICIO,MPETROLEO,TRANSPORTE TERRESTRE,,,,
21875,37UVAT,JN1CNUD225X451336,NISSAN,DOBLE CABINA,BLANCO,PICK-UP,Liviana,A DESINCORPORAR,FUERA DE SERVICIO,SERVICIOS LOGISTICOS,TRANSPORTE TERRESTRE,,,,
2264,A72AM5I,1FTMF1CM0CFB62264,FORD,F-150,BLANCO,PICK-UP,Liviana,A DESINCORPORAR,FUERA DE SERVICIO,BARIVEN,TRANSPORTE TERRESTRE,,,,
5668,SIN PLACAS,1N6AAOCCXCN325668,NISSAN,TITAN,BLANCO,PICK-UP,Liviana,EN PROCESO DE DESINCORPORACION,FUERA DE SERVICIO,GOIP,TRANSPORTE TERRESTRE,,,,
16210,SIN PLACAS,8ZCEC14T01V308262,CHEVROLET,CHEYENNE,BLANCO,PICK-UP,Liviana,EN PROCESO DE DESINCORPORACION,FUERA DE SERVICIO,PROYECTOS MAYORES,TRANSPORTE TERRESTRE,,,,
16217,35YMAP,8ZCEC14T01V308665,CHEVROLET,CHEYENNE,BLANCO,PICK-UP,Liviana,EN PROCESO DE DESINCORPORACION,FUERA DE SERVICIO,COORDINACION OPERACIONAL,TRANSPORTE TERRESTRE,,,,
16245,SIN PLACAS,8ZCEC14T61V308539,CHEVROLET,CHEYENNE,BLANCO,PICK-UP,Liviana,EN PROCESO DE DESINCORPORACION,FUERA DE SERVICIO,TRANSPORTE TERRESTRE,TRANSPORTE TERRESTRE,,,,
16411,79MDAM,8ZCEC14T62V308526,CHEVROLET,CHEYENNE,BLANCO,PICK-UP,Liviana,DESINCORPORADO,FUERA DE SERVICIO,COORDINACION OPERACIONAL,TRANSPORTE TERRESTRE,,,,
16431,57MDAM,8ZCEC14T52V308145,CHEVROLET,CHEYENNE,BLANCO,PICK-UP,Liviana,DESINCORPORADO,FUERA DE SERVICIO,SERVICIOS ELECTRICOS,TRANSPORTE TERRESTRE,,,,
16513,67LDAM,8ZCEC14T02V309848,CHEVROLET,CHEYENNE,BLANCO,PICK-UP,Liviana,EN PROCESO DE DESINCORPORACION,FUERA DE SERVICIO,SERVICIOS LOGISTICOS,TRANSPORTE TERRESTRE,,,,
16546,91UDAN,8ZCEC14T12V310264,CHEVROLET,CHEYENNE,BLANCO,PICK-UP,Liviana,DESINCORPORADO,FUERA DE SERVICIO,PROYECTOS MAYORES,TRANSPORTE TERRESTRE,,,,
16646,67CGAX,8ZCEC14TX5V312082,CHEVROLET,CHEYENNE,BLANCO,PICK-UP,Liviana,EN PROCESO DE DESINCORPORACION,FUERA DE SERVICIO,COORDINACION OPERACIONAL,TRANSPORTE TERRESTRE,,,,
16658,13JABI,8ZCEC14T45V314569,CHEVROLET,CHEYENNE,BLANCO,PICK-UP,Liviana,DESINCORPORADO,FUERA DE SERVICIO,COORDINACION OPERACIONAL,TRANSPORTE TERRESTRE,,,,
16680,72IABI,8ZCEC14T45V312997,CHEVROLET,CHEYENNE,BLANCO,PICK-UP,Liviana,EN PROCESO DE DESINCORPORACION,FUERA DE SERVICIO,SERVICIOS LOGISTICOS,TRANSPORTE TERRESTRE,,,,
16733,51JABI,8ZCEC14T25V314585,CHEVROLET,CHEYENNE,BLANCO,PICK-UP,Liviana,EN PROCESO DE DESINCORPORACION,FUERA DE SERVICIO,COORDINACION OPERACIONAL,TRANSPORTE TERRESTRE,,,,
16765,50EGAX,8ZCEC14T15V318840,CHEVROLET,CHEYENNE,BLANCO,PICK-UP,Liviana,DESINCORPORADO,FUERA DE SERVICIO,AIT,TRANSPORTE TERRESTRE,,,,
